编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
3-C,如果该图为在大气环流模式，S线代表地球表面，则	气流②自西向东运动,None,,,5,,如果 该 图 为 在 大气环流 模式 ， S线 代表 地球 表面 ， 则 气流 ② 自 西 向 东 运动,如果 该 图 为 在 大气 环流 模式 ， S线 代表 地球 表面 ， 则 气流 ② 自 西 向 东 运动,CS DT NN VC P term NN PU NN VV NN NN PU AD NN NN P NN P NN NN,,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）实体信息陈述_2（气流②，#，自西向东运动）,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）实体信息陈述_2（气流②，#，自西向东运动）,0_3 1_9,0_3 1_9,匹配 实体信息陈述,匹配 实体信息陈述,,5,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 气流 ② 自 西向东 运动,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 气流 ② 自 西向东 运动,CS DT NN VC P term NN PU NN VV NN NN PU AD VV AS P NR NN,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (PP (P 在) (NP (NN 大气环流))) (NP (NN 模式)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 气流) (NN ②)) (VP (PP (PP (P 自) (NP (NN 西))) (PP (P 向) (NP (NN 东) (NN 运动))))))) )
3-D,如果该图为在大气环流模式，S线代表地球表面，则	E处的高度可达120千米,None,,,5,19,如果 该 图 为 在 大气环流 模式 ， S线 代表 地球 表面 ， 则 E处 的 高度 可 达 120千米,如果 该 图 为 在 大气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 的 高度 可 达 120 千米,CS DT NN VC P term NN PU NN VV NN NN PU AD NN DEG NN VV VV num,,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）实体信息陈述_2（E处，高度，120千米）,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）实体信息陈述_2（E处，高度，120千米）,0_3 1_9,0_3 1_9,匹配 实体信息陈述,匹配 实体信息陈述,,5,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 的 高度 可 达 120 千米,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 的 高度 可 达 120 千米,CS DT NN VC P term NN PU NN VV NN NN PU AD NN DEG NN VV VV num,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (PP (P 在) (NP (NN 大气环流))) (NP (NN 模式)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (DNP (NP (NN E处)) (DEG 的)) (NP (NN 高度))) (VP (VV 可) (VP (VV 达) (QP (CD 120千米)))))) )
4-A,如果该图为海陆间水循环模式，S线代表地球表面，则	环节①参与地表淡水资源的补给,None,,,4,,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ① 参与 地表 淡水 资源 的 补给,如果 该 图 为 海陆 间 水 循环 模式 ， S线 代表 地球 表面 ， 则 环节 ① 参与 地表 淡水 资源 的 补给,CS DT NN VC term NN PU NN VV NN NN PU AD NN NN VV NN NN NN DEG NN,,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）一般陈述_2（环节①参与地表淡水资源的补给）,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）一般陈述_2（环节①参与地表淡水资源的补给）,0_3 1_8,0_3 1_8,匹配 一般陈述,匹配 一般陈述,,4,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ① 参与 地表 淡水 资源 的 补给,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ① 参与 地表 淡水 资源 的 补给,CS DT NN VC term NN PU NN VV NN NN PU AD VV VV VV NN NR NN DEG NN,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 海陆间水循环) (NN 模式))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 环节) (NN ①)) (VP (VV 参与) (NP (DNP (NP (NP (NN 地表)) (NP (NN 淡水) (NN 资源))) (DEG 的)) (NP (NN 补给)))))) )
4-B,如果该图为海陆间水循环模式，S线代表地球表面，则	环节②是陆地自然带形成的基础,None,,,4,,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ② 是 陆地 自然带 形成 的 基础,如果 该 图 为 海陆 间 水 循环 模式 ， S线 代表 地球 表面 ， 则 环节 ② 是 陆地 自然带 形成 的 基础,CS DT NN VC term NN PU NN VV NN NN PU AD NN NN VC NN NN VV DEC NN,,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）实体信息陈述_2（环节②，#，陆地自然带形成的基础）,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）实体信息陈述_2（环节②，#，陆地自然带形成的基础）,0_3 1_8,0_3 1_8,匹配 实体信息陈述,匹配 实体信息陈述,,4,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ② 是 陆地 自然带 形成 的 基础,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ② 是 陆地 自然带 形成 的 基础,CS DT NN VC term NN PU NN VV NN NN PU AD VV VV VC NN NN VV DEC NN,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 海陆间水循环) (NN 模式))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 环节) (NN ②)) (VP (VC 是) (NP (CP (IP (NP (NN 陆地) (NN 自然带)) (VP (VV 形成))) (DEC 的)) (NP (NN 基础)))))) )
4-C,如果该图为海陆间水循环模式，S线代表地球表面，则	环节③使大洋表面海水的盐度降低,None,,,4,,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ③ 使 大洋 表面 海水 的 盐度 降低,如果 该 图 为 海陆 间 水 循环 模式 ， S线 代表 地球 表面 ， 则 环节 ③ 使 大洋 表面 海水 的 盐度 降低,CS DT NN VC term NN PU NN VV NN NN PU AD NN NN VV NN NN NN DEG NN VV,,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）趋势_2（大洋表面海水，盐都，环节③，降低）,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）趋势_2（大洋表面海水，盐都，环节③，降低）,0_3 1_8 2_21,0_3 1_8 2_21,匹配 趋势,匹配 趋势,,4,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ③ 使 大洋 表面 海水 的 盐度 降低,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ③ 使 大洋 表面 海水 的 盐度 降低,CS DT NN VC term NN PU NN VV NN NN PU AD VV VV VV NN NN NN DEG NN VV,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 海陆间水循环) (NN 模式))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 环节) (NN ③)) (VP (VV 使) (NP (NN 大洋) (NN 表面)) (IP (NP (DNP (NP (NN 海水)) (DEG 的)) (NP (NN 盐度))) (VP (VV 降低)))))) )
4-D,如果该图为海陆间水循环模式，S线代表地球表面，则	环节④的运动距离与下垫面无关,None,,,4,,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ④ 的 运动 距离 与 下垫面 无关,如果 该 图 为 海陆 间 水 循环 模式 ， S线 代表 地球 表面 ， 则 环节 ④ 的 运动 距离 与 下垫面 无关,CS DT NN VC term NN PU NN VV NN NN PU AD NN NN DEG NN NN CC NN VV,,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）实体信息陈述_2（环节④，运动距离，与下垫面无关）,匹配_0（该图，海陆间水循环模式）匹配_1（S线，地球表面）实体信息陈述_2（环节④，运动距离，与下垫面无关）,0_3 1_8,0_3 1_8,匹配 实体信息陈述,匹配 实体信息陈述,,4,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ④ 的 运动 距离 与 下垫面 无关,如果 该 图 为 海陆间水循环 模式 ， S线 代表 地球 表面 ， 则 环节 ④ 的 运动 距离 与 下垫面 无关,CS DT NN VC term NN PU NN VV NN NN PU AD VV VV DEC NN NN CC NN VV,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 海陆间水循环) (NN 模式))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (DNP (NP (NN 环节) (NN ④)) (DEG 的)) (NP (NN 运动))) (NP (NN 距离) (CC 与) (NN 下垫面))) (VP (VV 无关)))) )
5-A,如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流①对沿岸气候有降温、减湿作用,None,,,5 8 13 16 20,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ① 对 沿岸 气候 有 降温 、 减湿 作用,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ① 对 沿岸 气候 有 降温 、 减湿 作用,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term NN P NN term VE VV PU VV NN,,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）影响_2（洋流①，沿岸气候，降温、减湿作用）,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）影响_2（洋流①，沿岸气候，降温、减湿作用）,0_3 1_12 2_25,0_3 1_12 2_25,匹配 影响,匹配 影响,,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ① 对 沿岸 气候 有 降温 、 减湿 作用,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ① 对 沿岸 气候 有 降温 、 减湿 作用,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term M P NN term VE VV PU NN NN,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 世界) (NN 洋流) (NN 模式)) (DEG 的)) (NP (NN 南半球) (NN 部分)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 纬线)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 洋流) (NN ①)) (VP (PP (P 对) (NP (NN 沿岸) (NN 气候))) (VP (VE 有) (NP (CP (IP (VP (VV 降温) (PU 、) (VV 减湿)))) (NP (NN 作用))))))) )
5-B,如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流②为西风漂流,None,,,5 8 13 16 19,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ② 为 西风漂流,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ② 为 西风 漂流,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term NN VC term,,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）匹配_2（洋流②，西风漂流）,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）匹配_2（洋流②，西风漂流）,0_3 1_12 2_18,0_3 1_12 2_18,匹配,匹配,,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ② 为 西风漂流,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ② 为 西风漂流,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term VV VV term,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 世界) (NN 洋流) (NN 模式)) (DEG 的)) (NP (NN 南半球) (NN 部分)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 纬线)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 洋流) (NN ②)) (VP (VC 为) (NP (NN 西风漂流))))) )
5-C,如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流③对沿岸气候有增温、增湿作用,None,,,5 8 13 16 20,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ③ 对 沿岸 气候 有 增温 、 增湿 作用,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ③ 对 沿岸 气候 有 增温 、 增湿 作用,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term NN P NN term VE VV PU VV NN,,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）影响_2（洋流③，沿岸气候，增温、增湿作用）,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）影响_2（洋流③，沿岸气候，增温、增湿作用）,0_3 1_12 2_25,0_3 1_12 2_25,匹配 影响,匹配 影响,,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ③ 对 沿岸 气候 有 增温 、 增湿 作用,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ③ 对 沿岸 气候 有 增温 、 增湿 作用,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term M P NN term VE VV PU NN NN,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 世界) (NN 洋流) (NN 模式)) (DEG 的)) (NP (NN 南半球) (NN 部分)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 纬线)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 洋流) (NN ③)) (VP (PP (P 对) (NP (NN 沿岸) (NN 气候))) (VP (VE 有) (NP (CP (IP (VP (VV 增温) (PU 、) (VV 增湿)))) (NP (NN 作用))))))) )
5-D,如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流④为赤道逆流,None,,,5 8 13 16 19,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ④ 为 赤道逆流,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ④ 为 赤道 逆流,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term NN VC term,,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）匹配_2（洋流④，赤道逆流）,匹配_0（该图，世界洋流模式的南半球部分）匹配_1（S线，纬线）匹配_2（洋流④，赤道逆流）,0_3 1_12 2_18,0_3 1_12 2_18,匹配,匹配,,,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ④ 为 赤道逆流,如果 该 图 为 世界 洋流 模式 的 南半球 部分 ， S线 代表 纬线 ， 则 洋流 ④ 为 赤道逆流,CS DT NN VC NN term NN DEG term NN PU NN VV term PU AD term VV VV term,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 世界) (NN 洋流) (NN 模式)) (DEG 的)) (NP (NN 南半球) (NN 部分)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 纬线)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN 洋流) (NN ④)) (VP (VC 为) (NP (NN 赤道逆流))))) )
