编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,三个观测点中	①位于大西洋,None,,6,,,三 个 观测点 中 ① 位于 大西洋,三 个 观测点 中 ① 位于 大西洋,CD M NN LC NN VV loc,,位于_0（①，大西洋）,位于_0（①，大西洋）,0_5,0_5,位于,位于,,5,三个 观测点 中 ① 位于 大 西洋,三个 观测点 中 ① 位于 大西洋,CD M NN LC VV VV loc,( (IP (NP (QP (CD 三) (CLP (M 个))) (LCP (NP (NN 观测点)) (LC 中)) (NP (NN ①))) (VP (VV 位于) (NP (NR 大西洋)))) )
6-D,利用遥感技术监测土壤水分含量变化。主要依据土壤	空气,None,,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,VV term VV NN NN NN NN PU JJ NN NN NN,,因果_0（土壤空气，利用遥感技术监测土壤水分含量变化）,因果_0（土壤空气，利用遥感技术监测土壤水分含量变化）,0_9,0_9,因果,因果,,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,VV term VV NN NN NN NN PU JJ NN NN NN,( (IP (VP (VP (VV 利用) (NP (NN 遥感技术))) (VP (VV 监测) (NP (NP (NP (NP (NP (NN 土壤) (NN 水分)) (NP (NN 含量) (NN 变化)) (PU 。)) (ADJP (JJ 主要)) (NP (NN 依据))) (NP (NN 土壤))) (NP (NN 空气)))))) )
7-A,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆，加速有机质分解,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,( (IP (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) (PU ，) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))) )
7-A-0,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) )
7-A-1,不够合理的治理土壤退化的措施是	东北平原加速有机质分解,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 东北平原)) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))))) )
7-B,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟，防治水土流失,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))) (PU ，) (VP (VV 防治) (NP (NN 水土流失)))))) )
7-B-0,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))))) )
7-B-1,不够合理的治理土壤退化的措施是	黄土高原防治水土流失,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土 流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 防治 水土 流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (VP (NP (NR 黄土高原)) (VP (VV 防治) (NP (NN 水土) (NN 流失)))))) )
7-C,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌，调控土壤盐分,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌 ， 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN,,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）措施_1（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）措施_1（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,0_8 1_8,0_8 1_8,措施,措施,,10,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 实施 排灌 ， 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (IP (NP (NR 黄淮海平原)) (VP (VV 实施) (NP (NN 排灌)))) (PU ，) (IP (NP (NN 调控) (NN 土壤)) (VP (NP (NN 盐分))))))) )
7-C-0,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）,0_8,0_8,措施,措施,,10,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 实施 排灌,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 黄淮海平原)) (VP (VV 实施) (NP (NN 排灌)))))) )
7-C-1,不够合理的治理土壤退化的措施是	黄淮海平原调控土壤盐分,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc NN NN NN,,措施_0（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,措施_0（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc NN NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 黄淮海平原) (NN 调控) (NN 土壤)) (NP (NN 盐分))))) )
7-D,不够合理的治理土壤退化的措施是	江南丘陵施用石灰，中和土壤酸度,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰 ， 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN,,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）措施_1（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）措施_1（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 江南丘陵)) (VP (VV 施用) (NP (NN 石灰) (PU ，) (NR 中和) (NN 土壤) (NN 酸度)))))) )
7-D-0,不够合理的治理土壤退化的措施是	江南丘陵施用石灰,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 江南丘陵)) (VP (VV 施用) (NP (NN 石灰)))))) )
7-D-1,不够合理的治理土壤退化的措施是	江南丘陵中和土壤酸度,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc NR NN NN,,措施_0（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,措施_0（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 中 和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 中 和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc NR NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 江南丘陵) (NR 中和)) (NP (NN 土壤) (NN 酸度))))) )
8-A,决定中国自然地理环境差异的基本因素是	植被和气候,None,,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 植被 和 气候,决定 中国 自然 地理 环境 差异 的 基本 因素 是 植被 和 气候,VV loc term NN DEG JJ NN VC term CC term,,影响_0（植被和气候，中国，自然地理环境差异）,影响_0（植被和气候，中国，自然地理环境差异）,0_0-6,0_0-6,影响,影响,,1,决定 中国 自然地理环境 差异 的 基本 因素 是 植被 和 气候,决定 中国 自然地理环境 差异 的 基本 因素 是 植被 和 气候,VV loc term NN DEG JJ NN VC term CC term,( (IP (IP (VP (VV 决定) (NP (DNP (NP (NP (NR 中国)) (NP (NN 自然地理环境) (NN 差异))) (DEG 的)) (ADJP (JJ 基本)) (NP (NN 因素))))) (VP (VC 是) (NP (NN 植被) (CC 和) (NN 气候)))) )
8-B,决定中国自然地理环境差异的基本因素是	气候和地貌,None,,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 气候 和 地貌,决定 中国 自然 地理 环境 差异 的 基本 因素 是 气候 和 地貌,VV loc term NN DEG JJ NN VC term CC term,,影响_0（气候和地貌，中国，自然地理环境差异）,影响_0（气候和地貌，中国，自然地理环境差异）,0_0-6,0_0-6,影响,影响,,1,决定 中国 自然地理环境 差异 的 基本 因素 是 气候 和 地貌,决定 中国 自然地理环境 差异 的 基本 因素 是 气候 和 地貌,VV loc term NN DEG JJ NN VC term CC term,( (IP (IP (VP (VV 决定) (NP (DNP (NP (NP (NR 中国)) (NP (NN 自然地理环境) (NN 差异))) (DEG 的)) (ADJP (JJ 基本)) (NP (NN 因素))))) (VP (VC 是) (NP (NN 气候) (CC 和) (NN 地貌)))) )
8-C,决定中国自然地理环境差异的基本因素是	地貌和水文,None,,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 地貌 和 水文,决定 中国 自然 地理 环境 差异 的 基本 因素 是 地貌 和 水文,VV loc term NN DEG JJ NN VC term CC term,,影响_0（地貌和水文，中国，自然地理环境差异）,影响_0（地貌和水文，中国，自然地理环境差异）,0_0-6,0_0-6,影响,影响,,1,决定 中国 自然地理环境 差异 的 基本 因素 是 地貌 和 水文,决定 中国 自然地理环境 差异 的 基本 因素 是 地貌 和 水文,VV loc term NN DEG JJ NN VC term CC term,( (IP (IP (VP (VV 决定) (NP (DNP (NP (NP (NR 中国)) (NP (NN 自然地理环境) (NN 差异))) (DEG 的)) (ADJP (JJ 基本)) (NP (NN 因素))))) (VP (VC 是) (NP (NN 地貌) (CC 和) (NN 水文)))) )
8-D,决定中国自然地理环境差异的基本因素是	土壤和植被,None,,1,2 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 土壤 和 植被,决定 中国 自然 地理 环境 差异 的 基本 因素 是 土壤 和 植被,VV loc term NN DEG JJ NN VC NN CC term,,影响_0（土壤和植被，中国，自然地理环境差异）,影响_0（土壤和植被，中国，自然地理环境差异）,0_0-6,0_0-6,影响,影响,,1,决定 中国 自然地理环境 差异 的 基本 因素 是 土壤 和 植被,决定 中国 自然地理环境 差异 的 基本 因素 是 土壤 和 植被,VV loc term NN DEG JJ NN VC NN CC term,( (IP (IP (VP (VV 决定) (NP (DNP (NP (NP (NR 中国)) (NP (NN 自然地理环境) (NN 差异))) (DEG 的)) (ADJP (JJ 基本)) (NP (NN 因素))))) (VP (VC 是) (NP (NN 土壤) (CC 和) (NN 植被)))) )
9-A,同等级铁路平均每千米工程量和造价最高的是	哈尔滨—沈阳段,None,,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,,最值_0（哈尔滨—沈阳段，平均每千米工程量和造价，高，同等级铁路）,最值_0（哈尔滨—沈阳段，平均每千米工程量和造价，高，同等级铁路）,0_9,0_9,最值,最值,,13 15,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,( (IP (NP (CP (IP (PP (P 同) (NP (NN 等级) (NN 铁路))) (ADVP (AD 平均)) (DP (DT 每) (CLP (M 千米))) (NP (NN 工程量) (CC 和) (NN 造价)) (VP (ADVP (AD 最)) (VP (VA 高)))) (DEC 的))) (VP (VC 是) (NP (NP (NR 哈尔滨) (PU —) (NR 沈阳)) (NP (NN 段))))) )
9-B,同等级铁路平均每千米工程量和造价最高的是	太原—石家庄段,None,,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,,最值_0（太原—石家庄段，平均每千米工程量和造价，高，同等级铁路）,最值_0（太原—石家庄段，平均每千米工程量和造价，高，同等级铁路）,0_9,0_9,最值,最值,,13 15,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,( (IP (NP (CP (IP (PP (P 同) (NP (NN 等级) (NN 铁路))) (ADVP (AD 平均)) (DP (DT 每) (CLP (M 千米))) (NP (NN 工程量) (CC 和) (NN 造价)) (VP (ADVP (AD 最)) (VP (VA 高)))) (DEC 的))) (VP (VC 是) (NP (NP (NR 太原) (PU —) (NR 石家庄)) (NP (NN 段))))) )
9-C,同等级铁路平均每千米工程量和造价最高的是	郑州—徐州段,None,,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,,最值_0（郑州—徐州段，平均每千米工程量和造价，高，同等级铁路）,最值_0（郑州—徐州段，平均每千米工程量和造价，高，同等级铁路）,0_9,0_9,最值,最值,,13 15,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,( (IP (NP (CP (IP (PP (P 同) (NP (NN 等级) (NN 铁路))) (ADVP (AD 平均)) (DP (DT 每) (CLP (M 千米))) (NP (NN 工程量) (CC 和) (NN 造价)) (VP (ADVP (AD 最)) (VP (VA 高)))) (DEC 的))) (VP (VC 是) (NP (NP (NR 郑州)) (PRN (PU —) (NP (NP (NR 徐州)) (NP (NN 段))))))) )
9-D,同等级铁路平均每千米工程量和造价最高的是	广州—深圳段,None,,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,,最值_0（广州—深圳段，平均每千米工程量和造价，高，同等级铁路）,最值_0（广州—深圳段，平均每千米工程量和造价，高，同等级铁路）,0_9,0_9,最值,最值,,13 15,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN,( (IP (NP (CP (IP (PP (P 同) (NP (NN 等级) (NN 铁路))) (ADVP (AD 平均)) (DP (DT 每) (CLP (M 千米))) (NP (NN 工程量) (CC 和) (NN 造价)) (VP (ADVP (AD 最)) (VP (VA 高)))) (DEC 的))) (VP (VC 是) (NP (NP (NR 广州) (PU —) (NR 深圳)) (NP (NN 段))))) )
10-A,近20年来，人口流出量最大省的省会是	太原,None,1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,AD time M PU NN NN AD JJ NN DEG NN VC loc,,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，太原）,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，太原）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,12,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,AD time M PU NN NN AD JJ NN DEG NN VC loc,( (IP (QP (ADVP (AD 近)) (QP (NP (NT 20年)) (QP (CLP (M 来))))) (PU ，) (NP (DNP (NP (NP (NN 人口) (NN 流出量)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 省))) (DEG 的)) (NP (NN 省会))) (VP (VC 是) (NP (NR 太原)))) )
10-B,近20年来，人口流出量最大省的省会是	兰州,None,1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,AD time M PU NN NN AD JJ NN DEG NN VC loc,,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，兰州）,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，兰州）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,AD time M PU NN NN AD JJ NN DEG NN VC loc,( (IP (QP (ADVP (AD 近)) (QP (NP (NT 20年)) (QP (CLP (M 来))))) (PU ，) (NP (DNP (NP (NP (NN 人口) (NN 流出量)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 省))) (DEG 的)) (NP (NN 省会))) (VP (VC 是) (NP (NR 兰州)))) )
10-C,近20年来，人口流出量最大省的省会是	成都,None,1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,AD time M PU NN NN AD JJ NN DEG NN VC loc,,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，成都）,时间限定_0（近20年来）实体信息陈述_1（人口流出量最大省，省会，成都）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,12,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,AD time M PU NN NN AD JJ NN DEG NN VC loc,( (IP (QP (ADVP (AD 近)) (QP (NP (NT 20年)) (QP (CLP (M 来))))) (PU ，) (NP (DNP (NP (NP (NN 人口) (NN 流出量)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 省))) (DEG 的)) (NP (NN 省会))) (VP (VC 是) (NP (NR 成都)))) )
